,Unnamed: 0,id,title,point,cast
0,0,mm127620,خط باریک قرمز,60,"'c519', 'c2217', 'c5687'"
1,1,mm127844,کله پوک,46,"'c3443', 'c4131', 'c3775'"
2,2,mm61682,جایی برای فرشته ها نیست,86,
3,3,mm119388,هفته ای یک بار آدم باش,55,"'c8568', 'c8857', 'c2359'"
4,4,mm127025,عطر داغ,77,"'c5681', 'c5822', 'c6208'"
5,5,mm126996,گلدن تایم,75,"'c12996', 'c14965', 'c8720'"
6,6,mm126197,بازیگوش ها,82,"'c8144', 'c35605', 'c7746'"
7,7,mm123286,الیور توئیست,77,"'c8030', 'c1832', 'c7657'"
8,8,mm86362,سیاه باز,44,"'c7837', 'c8569', 'c86377'"
9,9,mm120907,خنکای ختم خاطره,0,"'c120908', 'c120909', 'c120910'"
10,10,mm120919,شازده احتجاب,0,
11,11,mm120951,جنون پاریسی,0,"'c58698', 'c120952', 'c120953'"
12,12,mm120948,مرز,0,'c76533'
13,13,mm120936,غریبه های کامل,67,"'c120937', 'c120938', 'c120939'"
14,14,mm118963,مرگ گرم,43,"'c118964', 'c27958', 'c81555'"
15,15,mm53583,طلا,78,"'c4124', 'c7292', 'c5822'"
16,16,mm117788,خون شد,46,"'c2706', 'c5816', 'c7291'"
17,17,mm116872,گورکن,64,"'c4125', 'c5723', 'c8328'"
18,18,mm115150,بوتاکس,32,"'c5853', 'c58558', 'c115151'"
19,19,mm114653,پری سا,55,"'c2850', 'c6330', 'c7293'"
20,20,mm110217,تکخال,71,"'c2358', 'c2957', 'c1851'"
21,21,mm109241,خورشید,88,"'c2848', 'c4123', 'c2538'"
22,22,mm107645,جنون,59,"'c2511', 'c2376', 'c6235'"
23,23,mm103307,هزار سال با تو,46,"'c103654', 'c3991', 'c18741'"
24,24,mm102566,آن شب,67,"'c515', 'c102563', 'c105100'"
25,25,mm99164,جایی در میان گاوها,39,"'c16012', 'c14849', 'c42731'"
26,26,mm96065,مهین,91,
27,27,mm96160,بعد از تو,73,"'c8411', 'c86356', 'c86357'"
28,28,mm95793,آن روز,62,
29,29,mm95540,زیر نور کم,31,"'c1845', 'c7984', 'c1847'"
30,30,mm94435,شنای پروانه,94,"'c4123', 'c6123', 'c2538'"
31,31,mm91946,پیشی میشی,82,"'c2361', 'c2369', 'c536'"
32,32,mm91047,آقای سانسور,65,"'c5820', 'c11475', 'c2369'"
33,33,mm90010,دیدن این فیلم جرم است,86,"'c8822', 'c6123', 'c8823'"
34,34,mm86556,قصر,73,"'c28528', 'c86557', 'c58558'"
35,35,mm86242,آبادان یازده ۶۰,90,"'c15757', 'c5723', 'c68054'"
36,36,mm83587,صخره اشتباهی,78,
37,37,mm82010,مردن در آب مطهر,79,"'c9410', 'c57220', 'c57769'"
38,38,mm80825,سرزمین الف ها,64,"'c80827', 'c80828'"
39,39,mm79362,سوءتفاهم,43,"'c3446', 'c8568', 'c5911'"
40,40,mm71195,سازهای ناکوک,46,"'c2217', 'c10921', 'c5915'"
41,41,mm79303,اصل ۴۴ قانون اساسی,56,"'c79307', 'c72365', 'c79308'"
42,42,mm78448,تا باران چند پاییز مانده,53,"'c78453', 'c78454', 'c78455'"
43,43,mm78309,جبیر,77,
44,44,mm77454,ناگهان درخت,48,"'c5724', 'c1832', 'c8924'"
45,45,mm77428,علیه من شهادت نده,38,"'c5961', 'c12210', 'c77429'"
46,46,mm76531,من مردم روزی که به دنیا آمدم,49,"'c59230', 'c76532', 'c76533'"
47,47,mm76812,دایان,76,"'c76817', 'c76818', 'c76819'"
48,48,mm76497,جمشیدیه,76,"'c8208', 'c5915', 'c7687'"
49,49,mm75793,آکواریوم,40,"'c75811', 'c75812', 'c75813'"
50,50,mm75319,سراسر شب,36,"'c5902', 'c5815', 'c5857'"
51,51,mm75078,موسیقی مجلسی,53,"'c75079', 'c67241', 'c75080'"
52,52,mm69088,تا ابد,26,"'c6207', 'c7086', 'c5822'"
53,53,mm73373,چسب هایش,40,"'c7656', 'c73386', 'c73389'"
54,54,mm70541,روزهای نارنجی,72,"'c5679', 'c6532', 'c2867'"
55,55,mm72472,داستان آخرین داستان,85,"'c6121', 'c6528', 'c5680'"
56,56,mm72357,نسیان,41,"'c72358', 'c72359', 'c72360'"
57,57,mm71850,بی حسی موضعی,45,"'c8866', 'c2513', 'c6029'"
58,58,mm70890,کشتارگاه,79,"'c29438', 'c7155', 'c13610'"
59,59,mm70418,چهل و هفت,53,"'c7708', 'c5726', 'c12996'"
60,60,mm68018,هایلایت,51,"'c2359', 'c22410', 'c7837'"
61,61,mm68976,سکوت خبری,59,"'c68977', 'c68978', 'c68979'"
62,62,mm10916,سارا و آیدا,77,"'c5783', 'c10921', 'c1833'"
63,63,mm67647,ایستگاه اتمسفر,83,"'c6207', 'c14912', 'c14965'"
64,64,mm68309,آخرین داستان,89,"'c6121', 'c6528', 'c5680'"
65,65,mm67419,گیلدا,27,"'c1832', 'c5915', 'c7315'"
66,66,mm67430,باتلاق وان,56,'c18741'
67,67,mm67425,کار کثیف,76,"'c6125', 'c26559', 'c5858'"
68,68,mm67465,خوب بد جلف ۲ (ویژه ناشنوایان),81,"'c2360', 'c8568', 'c5915'"
69,69,mm66305,زن ها فرشته اند ۲,78,"'c2362', 'c5952', 'c2957'"
70,70,mm53595,زیر نظر,73,"'c5850', 'c5815', 'c2867'"
71,71,mm65790,بنفشه آفریقایی,82,"'c8524', 'c5714', 'c2706'"
72,72,mm66118,قهرمانان کوچک,92,"'c2364', 'c2368', 'c6193'"
73,73,mm63475,لتیان,58,"'c1862', 'c7154', 'c8208'"
74,74,mm65566,بیست و یک روز بعد,86,"'c7120', 'c1847', 'c18056'"
75,75,mm65506,بی آب و نان بیابان,77,"'c4126', 'c27965', 'c65518'"
76,76,mm64726,بنیامین,80,"'c4056', 'c28405', 'c28383'"
77,77,mm64725,حمال طلا,56,"'c16011', 'c2706', 'c14965'"
78,78,mm64724,جاده فرعی,31,"'c8038', 'c9840', 'c29391'"
79,79,mm64722,رضا,47,"'c64983', 'c1846', 'c6148'"
80,80,mm61222,پسرکشی,62,"'c14965', 'c14412', 'c6208'"
81,81,mm64205,دنیای شادی ۲,65,
82,82,mm64206,هفت و نیم,75,"'c57220', 'c8567', 'c5722'"
83,83,mm62370,بهت,63,"'c5908', 'c8857', 'c26972'"
84,84,mm61220,نرگس مست,64,"'c7291', 'c15337', 'c2511'"
85,85,mm62330,حوا مریم عایشه,69,"'c62352', 'c62353', 'c14959'"
86,86,mm62591,۱۷۴ روز با هم گناه,85,"'c6121', 'c5679', 'c6207'"
87,87,mm61219,خوب بد جلف ۲,81,"'c2360', 'c8568', 'c5915'"
88,88,mm53594,مهمانخانه ماه نو,55,"'c1832', 'c49661', 'c49662'"
89,89,mm61184,حکایت دریا,49,"'c8355', 'c8524', 'c6528'"
90,90,mm60819,حبس دنیا,67,"'c60918', 'c60919', 'c60920'"
91,91,mm60298,سونامی,80,"'c4091', 'c5822', 'c8857'"
92,92,mm83003,ترخیص,60,'c83004'
93,93,mm60238,خروج,85,"'c5725', 'c7687', 'c23933'"
94,94,mm82760,تلکه,66,
95,95,mm59210,تیغ و ترمه,53,"'c12623', 'c2359', 'c5955'"
96,96,mm59207,موش گیر,52,"'c3443', 'c6235', 'c6254'"
97,97,mm58442,سورنجان,62,"'c40699', 'c7086', 'c58558'"
98,98,mm58443,بی وزنی,18,"'c4058', 'c6208', 'c8391'"
99,99,mm57827,منطقه پرواز ممنوع,81,"'c7315', 'c10937', 'c7382'"
100,100,mm57870,اژدر,55,"'c12906', 'c2369', 'c5775'"
101,101,mm57178,کارت پرواز,66,"'c39494', 'c57220', 'c24892'"
102,102,mm57177,مسخره باز,51,"'c1845', 'c5691', 'c2848'"
103,103,mm53438,جهان با من برقص,84,"'c6532', 'c4123', 'c3446'"
104,104,mm53596,مطرب (ویژه ناشنوایان),68,"'c6121', 'c5902', 'c6207'"
105,105,mm53597,چشم و گوش بسته (ویژه ناشنوایان),83,"'c5801', 'c11475', 'c16322'"
106,106,mm53038,جان دار,90,"'c8524', 'c5680', 'c4123'"
107,107,mm51897,امیر,45,"'c7086', 'c1846', 'c2357'"
108,108,mm51758,مده آ,46,"'c51819', 'c51820', 'c51821'"
109,109,mm51101,سال دوم دانشکده من,67,"'c51103', 'c51104', 'c6532'"
110,110,mm51024,عند از مطالبه,49,"'c51027', 'c51028', 'c35835'"
111,111,mm50756,هجوم,47,"'c50758', 'c11136', 'c50760'"
112,112,mm49961,میلیونر میامی,48,"'c2220', 'c1835', 'c2538'"
113,113,mm49775,دوباره زندگی,79,"'c7686', 'c5839', 'c49781'"
114,114,mm49145,خانه,60,"'c25099', 'c49147', 'c49149'"
115,115,mm48322,جانان,68,"'c5801', 'c48303', 'c22293'"
116,116,mm47067,آشفتگی,39,"'c4091', 'c1832', 'c2867'"
117,117,mm46143,چشم و گوش بسته,86,"'c5801', 'c11475', 'c16322'"
118,118,mm46462,سمفونی نهم,70,"'c2220', 'c7120', 'c5820'"
119,119,mm45799,معکوس,64,"'c14453', 'c5691', 'c15757'"
120,120,mm45486,ماجرای نیمروز ۲ : رد خون,91,"'c6207', 'c5841', 'c4123'"
121,121,mm44620,مردی بدون سایه,60,"'c6528', 'c6532', 'c519'"
122,122,mm45112,جن زیبا,42,"'c519', 'c45114', 'c7984'"
123,123,mm44769,شکستن همزمان بیست استخوان,77,"'c2849', 'c8438', 'c16080'"
124,124,mm44637,نسترن های وحشی,59,"'c44638', 'c44639', 'c44640'"
125,125,mm43669,هزارتو,60,"'c515', 'c7120', 'c44374'"
126,126,mm44070,روزگار مجنون,60,"'c44072', 'c44073', 'c4058'"
127,127,mm44063,پرواز بادبادک‌ ها,69,"'c44064', 'c1840', 'c44065'"
128,128,mm44191,ترومای سرخ,35,"'c5856', 'c5961', 'c6025'"
129,129,mm44162,کرونا: نترسیم اما آگاه باشیم,74,'c95974'
130,130,mm43771,سریک,73,'c44059'
131,131,mm43692,خداحافظ دختر شیرازی,86,"'c6331', 'c5687', 'c12206'"
132,132,mm43668,۲۳ نفر,92,"'c7346', 'c43718', 'c43719'"
133,133,mm43502,مطرب,82,"'c6121', 'c5902', 'c6207'"
134,134,mm43158,کلوپ همسران,74,"'c2362', 'c2511', 'c5726'"
135,135,mm42592,مشت آخر,74,"'c7562', 'c4093', 'c6000'"
136,136,mm42636,ایده اصلی,87,"'c4091', 'c5911', 'c8568'"
137,137,mm42640,کروکودیل,68,"'c9714', 'c4094', 'c5683'"
138,138,mm42426,رحمان ۱۴۰۰,82,"'c5951', 'c2706', 'c10787'"
139,139,mm41880,دختر شیطان,74,"'c2220', 'c41910', 'c41911'"
140,140,mm41898,شاه کش,48,"'c1832', 'c7315', 'c16012'"
141,141,mm41225,بهشت گمشده,80,"'c5725', 'c5687', 'c13251'"
142,142,mm41043,زمان در حبس قصر,43,"'c39869', 'c41044', 'c41045'"
143,143,mm40702,پیلوت,68,"'c4123', 'c1847', 'c40699'"
144,144,mm40456,آن ها,53,"'c6331', 'c7579', 'c18250'"
145,145,mm40427,قهوه برزیلی,46,"'c10067', 'c40429', 'c40428'"
146,146,mm40154,چاقی,60,"'c2220', 'c7708', 'c6532'"
147,147,mm40195,استودیو نماوا: اسکار ۲۰۲۰,66,
148,148,mm39860,ترور,59,"'c7277', 'c6316', 'c27678'"
149,149,mm39379,درخونگاه,84,"'c5801', 'c14965', 'c8328'"
150,150,mm39248,به وقت پازولینی,52,"'c39249', 'c37714', 'c37766'"
151,151,mm38990,غلامرضا تختی,93,"'c38995', 'c38996', 'c38997'"
152,152,mm38948,زهرمار (ویژه ناشنوایان),70,"'c3738', 'c6331', 'c5726'"
153,153,mm38947,سامورایی در برلین (ویژه ناشنوایان),72,"'c2220', 'c3741', 'c5775'"
154,154,mm38851,مردی که از آستینش برف می‌ بارید,60,"'c38853', 'c38854', 'c38855'"
155,155,mm38814,قسم,90,"'c1832', 'c2706', 'c13610'"
156,156,mm38466,نبات,82,"'c515', 'c4059', 'c14567'"
157,157,mm38313,سرکوب,50,"'c7612', 'c2513', 'c12841'"
158,158,mm37953,زهرمار,75,"'c3738', 'c6331', 'c5726'"
159,159,mm37702,مرگ تصادفی یک آنارشیست,61,"'c37714', 'c37715', 'c37716'"
160,160,mm37756,مرگ فیدل,40,"'c546', 'c13532', 'c37758'"
161,161,mm37344,سامورایی در برلین,80,"'c2220', 'c3741', 'c5775'"
162,162,mm37341,نفس های آرام,57,"'c5713', 'c5966', 'c6529'"
163,163,mm36808,روسی,38,"'c6123', 'c2538', 'c1845'"
164,164,mm36461,تپلی و من,81,"'c5723', 'c2511', 'c3443'"
165,165,mm36320,شبی که ماه کامل شد (ویژه ناشنوایان),81,"'c5902', 'c7657', 'c2866'"
166,166,mm36243,آستیگمات,70,"'c6207', 'c528', 'c2513'"
167,167,mm35815,ایکس لارج,65,"'c2285', 'c2362', 'c3443'"
168,168,mm31419,پیشونی سفید ۳,84,"'c3448', 'c2359', 'c2362'"
169,169,mm35568,کلاسیکو,92,"'c8568', 'c3741'"
170,170,mm35368,زندانی ها (ویژه ناشنوایان),61,"'c8330', 'c14783', 'c7763'"
171,171,mm35134,شبی که ماه کامل شد,88,"'c5902', 'c7657', 'c2866'"
172,172,mm34763,قصر شیرین,78,"'c5680', 'c11240', 'c34932'"
173,173,mm34597,چهار انگشت (ویژه ناشنوایان),65,"'c5815', 'c4123', 'c11993'"
174,174,mm34092,زندانی ها,70,"'c8330', 'c14783', 'c7763'"
175,175,mm33428,تعصب,58,"'c33429', 'c28222', 'c33430'"
176,176,mm33369,چهار انگشت,77,"'c5815', 'c4123', 'c11993'"
177,177,mm31125,ما همه با هم هستیم  (ویژه ناشنوایان),55,"'c3737', 'c6528', 'c4123'"
178,178,mm30870,اتاق تاریک,82,"'c8503', 'c7120', 'c30872'"
179,179,mm30805,هستی,51,"'c30807', 'c30808', 'c30809'"
180,180,mm30548,ما همه با هم هستیم,58,"'c3737', 'c6528', 'c4123'"
181,181,mm29801,نیوکاسل,67,"'c11475', 'c2850', 'c5816'"
182,182,mm28526,برگ جان,69,"'c15337', 'c6513', 'c10219'"
183,183,mm28160,تگزاس ۲ (ویژه ناشنوایان),81,"'c2360', 'c525', 'c8568'"
184,184,mm27881,تگزاس ۲,88,"'c2360', 'c525', 'c8568'"
185,185,mm27788,ژن خوک,83,"'c7315', 'c27769', 'c3447'"
186,186,mm27078,متری شیش و نیم,89,"'c5724', 'c8030', 'c1862'"
187,187,mm27164,عرق سرد,88,"'c2513', 'c7154', 'c7466'"
188,188,mm27182,متری شیش و نیم (ویژه ناشنوایان),85,"'c5724', 'c8030', 'c1862'"
189,189,mm26754,آواز در خواب,68,"'c2361', 'c3001', 'c7278'"
190,190,mm26768,کوتاه مثل زندگی,60,"'c6277', 'c9840', 'c26771'"
191,191,mm26772,پشت صحنه دوبله فیلم انتقام جویان: پایان بازی,92,"'c4056', 'c28427', 'c27682'"
192,192,mm26891,متولد آذر,54,
193,193,mm26560,چراغ های ناتمام,73,"'c2499', 'c5726', 'c7156'"
194,194,mm26619,پینوکیو، عامو سردار و ریسلی,66,"'c26621', 'c26622', 'c26623'"
195,195,mm26433,ماموریت غیر ممکن,64,"'c17738', 'c26435', 'c7684'"
196,196,mm26236,آندرانیک,67,"'c7596', 'c4096', 'c7612'"
197,197,mm25727,تخته گاز,79,"'c2360', 'c2376', 'c5968'"
198,198,mm26096,کلمبوس,67,"'c519', 'c15337', 'c6331'"
199,199,mm25513,مارموز,73,"'c5680', 'c4125', 'c7256'"
200,200,mm25373,شعله ور,68,"'c5801', 'c25374', 'c25375'"
201,201,mm24881,پاستاریونی,90,"'c2360', 'c2369', 'c12691'"
202,202,mm25293,ترانه,75,"'c4094', 'c5683', 'c4059'"
203,203,mm25102,درساژ,57,"'c25105', 'c6532', 'c6331'"
204,204,mm24849,پیشونی سفید ۲,85,"'c3448', 'c2359', 'c2362'"
205,205,mm24513,تنگه ابوقریب,91,"'c4123', 'c1847', 'c7154'"
206,206,mm24052,دم سرخ ها,78,"'c3739', 'c2361', 'c5683'"
207,207,mm23705,یک کیلو و بیست و یک گرم,87,"'c2706', 'c7984', 'c2866'"
208,208,mm23271,داش آکل,71,"'c5964', 'c2374', 'c23274'"
209,209,mm23277,لواسان,52,"'c7293', 'c5846', 'c5811'"
210,210,mm22848,شانتاژ,37,"'c22849', 'c4017', 'c22850'"
211,211,mm19975,لازانیا,85,"'c3739', 'c536', 'c2500'"
212,212,mm19902,گرگ بازی,62,"'c6532', 'c3446', 'c7292'"
213,213,mm18980,سوی دیگر باد,62,"'c18981', 'c16262', 'c18982'"
214,214,mm19119,خرگیوش (ویژه ناشنوایان),47,"'c5691', 'c4123', 'c3738'"
215,215,mm18904,خرگیوش,60,"'c5691', 'c4123', 'c3738'"
216,216,mm18828,یک قناری یک کلاغ,54,"'c2217', 'c8866'"
217,217,mm18586,کاتیوشا,85,"'c7315', 'c1834', 'c5728'"
218,218,mm18424,دارکوب,91,"'c8208', 'c1832', 'c5801'"
219,219,mm18376,در وجه حامل,73,"'c14965', 'c8305', 'c18377'"
220,220,mm18330,خجالت نکش,92,"'c1834', 'c6331', 'c8823'"
221,221,mm18334,به وقت خماری,82,"'c7562', 'c2217', 'c6315'"
222,222,mm18247,اسرافیل,79,"'c5679', 'c2359', 'c18250'"
223,223,mm17737,هفدهمین جشن حافظ,83,
224,224,mm17490,کلیله و دمنه: راز دو بچه شغال در جنگل,74,"'c109449', 'c2900', 'c30459'"
225,225,mm16569,به وقت شام,80,"'c5691', 'c7315', 'c16576'"
226,226,mm16231,لاتاری,89,"'c8503', 'c7315', 'c2220'"
227,227,mm16210,حقه باز دم دراز,71,"'c3777', 'c11161', 'c15723'"
228,228,mm16079,رفتن,72,"'c12207', 'c16080', 'c7342'"
229,229,mm16010,لونه زنبور,87,"'c8568', 'c6207', 'c7763'"
230,230,mm16072,جشن دلتنگی,76,"'c6207', 'c14783', 'c5691'"
231,231,mm15869,مادری,80,"'c3447', 'c3446', 'c10691'"
232,232,mm15721,ویولن,65,"'c8824', 'c15723', 'c5775'"
233,233,mm15647,فراری,72,"'c2849', 'c3448', 'c7291'"
234,234,mm15204,رگ خواب,84,"'c6528', 'c5713', 'c7612'"
235,235,mm15404,عشقولانس,67,"'c2285', 'c3445', 'c2957'"
236,236,mm15170,قاتل اهلی,77,"'c6121', 'c7154', 'c5783'"
237,237,mm15172,پسرهای ترشیده,73,"'c3443', 'c3991', 'c5684'"
238,238,mm15019,انزوا,81,"'c4058', 'c7771', 'c7156'"
239,239,mm14800,دنیای شادی,73,
240,240,mm14778,وکیل بند,49,"'c6030', 'c4132', 'c14790'"
241,241,mm14168,ملی و راه‌ های نرفته‌ اش,87,"'c7086', 'c14170', 'c14171'"
242,242,mm14082,عزیز میلیون دلاری,71,"'c10085', 'c3445', 'c2361'"
243,243,mm13439,آزاد به قید شرط,81,"'c5815', 'c5726', 'c5728'"
244,244,mm13220,عشق و خیانت,66,"'c7868', 'c5885', 'c13221'"
245,245,mm12903,غیرمجاز,77,"'c7086', 'c7984', 'c12904'"
246,246,mm12840,خفه‌ گی,74,"'c5902', 'c8030', 'c12841'"
247,247,mm12595,اگزما,54,"'c7771', 'c12622', 'c12623'"
248,248,mm12205,شنل,73,"'c2513', 'c7596', 'c8192'"
249,249,mm11829,نگار,68,"'c7292', 'c5820', 'c7155'"
250,250,mm11516,چله: ویژه برنامه یلدای نماوا,61,
251,251,mm11226,پرسه در حوالی من,62,"'c8328', 'c3992', 'c11234'"
252,252,mm10528,پا تو کفش من نکن,84,"'c2957', 'c3443', 'c2500'"
253,253,mm9433,ولپن,56,"'c9489', 'c6148', 'c9490'"
254,254,mm8820,ماجرای نیمروز,93,"'c5822', 'c1834', 'c2353'"
255,255,mm8814,خانه‌ای در خیابان چهل و یکم,79,"'c1832', 'c6532', 'c8351'"
256,256,mm8501,گشت ۲,92,"'c2220', 'c8502', 'c8503'"
257,257,mm119826,تراژدی مکبث,0,"'c661', 'c1198', 'c23039'"
